,Date,Time,Open,High,Low,Close,todrop
2100,2015-10-04,17:00:00,1.519,1.519,1.51899,1.51899,0.0
2101,2015-10-05,17:00:00,1.51442,1.51449,1.51412,1.51449,0.0
2102,2015-10-06,17:00:00,1.52235,1.52271,1.52235,1.52271,0.0
2103,2015-10-07,17:00:00,1.53162,1.53172,1.53141,1.53172,0.0
2104,2015-10-08,17:00:00,1.53465,1.5347,1.53437,1.53439,0.0
2105,2015-10-09,17:00:00,1.53181,1.53271,1.5312,1.53205,0.0
2106,2015-10-10,17:00:00,1.53181,1.53271,1.5312,1.53205,0.0
2107,2015-10-11,17:00:00,1.53181,1.53271,1.5312,1.53205,0.0
2108,2015-10-12,17:00:00,1.53473,1.53479,1.53386,1.53386,0.0
2109,2015-10-13,17:00:00,1.52468,1.5248,1.52445,1.5248,0.0
2110,2015-10-14,17:00:00,1.54758,1.5476,1.54735,1.54743,0.0
2111,2015-10-15,17:00:00,1.54748,1.54755,1.54391,1.54656,0.0
2112,2015-10-16,17:00:00,1.54354,1.54354,1.54325,1.54328,0.0
2113,2015-10-17,17:00:00,1.54354,1.54354,1.54325,1.54328,0.0
2114,2015-10-18,17:00:00,1.54354,1.54354,1.54325,1.54328,0.0
2115,2015-10-19,17:00:00,1.54619,1.54642,1.54619,1.54639,0.0
2116,2015-10-20,17:00:00,1.54419,1.54449,1.54401,1.54449,0.0
2117,2015-10-21,17:00:00,1.5414,1.54159,1.54123,1.54125,0.0
2118,2015-10-22,17:00:00,1.53924,1.53932,1.53907,1.5393,0.0
2119,2015-10-23,17:00:00,1.53083,1.5312,1.53081,1.5312,0.0
2120,2015-10-24,17:00:00,1.53083,1.5312,1.53081,1.5312,0.0
2121,2015-10-25,17:00:00,1.53162,1.53163,1.53162,1.53163,0.0
2122,2015-10-26,17:00:00,1.53484,1.53508,1.53484,1.53505,0.0
2123,2015-10-27,17:00:00,1.52989,1.52997,1.52975,1.52997,0.0
2124,2015-10-28,17:00:00,1.52592,1.52614,1.52584,1.52603,0.0
2125,2015-10-29,17:00:00,1.53086,1.53091,1.5307,1.53077,0.0
2126,2015-10-30,17:00:00,1.54279,1.54279,1.54235,1.54235,0.0
2127,2015-10-31,17:00:00,1.54279,1.54279,1.54235,1.54235,0.0
2128,2015-11-01,17:00:00,1.54491,1.54492,1.54441,1.54466,0.0
2129,2015-11-02,17:00:00,1.54142,1.54164,1.54139,1.54164,0.0
2130,2015-11-03,17:00:00,1.5419,1.54206,1.54173,1.54205,0.0
2131,2015-11-04,17:00:00,1.53826,1.53882,1.53822,1.53863,0.0
2132,2015-11-05,17:00:00,1.52042,1.52072,1.52042,1.52068,0.0
2133,2015-11-06,17:00:00,1.50442,1.50521,1.50429,1.50441,0.0
2134,2015-11-07,17:00:00,1.50442,1.50521,1.50429,1.50441,0.0
2135,2015-11-08,17:00:00,1.50495,1.50496,1.50495,1.50496,0.0
2136,2015-11-09,17:00:00,1.51132,1.51135,1.51126,1.51126,0.0
2137,2015-11-10,17:00:00,1.51164,1.51179,1.51145,1.51158,0.0
2138,2015-11-11,17:00:00,1.52087,1.52091,1.52079,1.5208,0.0
2139,2015-11-12,17:00:00,1.52296,1.52296,1.52263,1.52291,0.0
2140,2015-11-13,17:00:00,1.52285,1.52394,1.52285,1.52361,0.0
2141,2015-11-14,17:00:00,1.52285,1.52394,1.52285,1.52361,0.0
2142,2015-11-15,17:00:00,1.52267,1.52267,1.52263,1.52263,0.0
2143,2015-11-16,17:00:00,1.51994,1.5202,1.51984,1.52008,0.0
2144,2015-11-17,17:00:00,1.52088,1.52126,1.52088,1.52124,0.0
2145,2015-11-18,17:00:00,1.52326,1.52358,1.52316,1.52358,0.0
